,trial,time,y_attacker,x_attacker,y_end_attacker,x_target,y_target,goal_mean,goal_upper,goal_lower,p_in,goal_upper_expand,goal_lower_expand,decision_expand,d_prime_expand
8,446.0,0.37722222222222224,4.5,-10.0,4.5,0.0,-1.4041072263681933,0.0,4.0,-4.0,0.0,3.857962229302702,-3.760807962624332,correct_reject,0.0
9,446.0,0.42333333333333334,4.5,-8.75,4.5,0.0,0.23932468748196545,0.0,4.0,-4.0,0.0,3.857962229302702,-3.760807962624332,correct_reject,0.0
10,446.0,0.46944444444444444,4.5,-7.5,4.5,0.0,0.004966132028064507,0.0,4.0,-4.0,0.0,3.857962229302702,-3.760807962624332,correct_reject,0.0
11,446.0,0.5155555555555555,4.5,-6.25,4.5,0.0,-2.8736895387041717,0.0,4.0,-4.0,0.0,3.857962229302702,-3.760807962624332,correct_reject,0.0
12,446.0,0.5616666666666666,4.5,-5.0,4.5,0.0,2.0024399730161297,0.0,4.0,-4.0,0.0,3.857962229302702,-3.760807962624332,correct_reject,0.0
13,446.0,0.6077777777777778,4.5,-3.75,4.5,0.0,0.8007446061802455,0.0,4.0,-4.0,0.0,3.857962229302702,-3.760807962624332,correct_reject,0.0
14,446.0,0.6538888888888889,4.5,-2.5,4.5,0.0,0.4400013774691329,0.0,4.0,-4.0,0.0,3.857962229302702,-3.760807962624332,correct_reject,0.0
15,446.0,0.7,4.5,-1.25,4.5,0.0,3.2077912311022025,0.0,4.0,-4.0,0.0,3.857962229302702,-3.760807962624332,correct_reject,0.0
0,447.0,0.008333333333333333,5.5,-20.0,5.5,0.0,-1.7620097460543658,0.0,4.0,-4.0,0.09206109405551666,-1.7620097460543658,-1.7620097460543658,correct_reject,0.0
1,447.0,0.05444444444444444,5.5,-18.75,5.5,0.0,2.7747334488736293,0.0,4.0,-4.0,0.2126578518132215,2.7747334488736293,-1.7620097460543658,correct_reject,0.0
2,447.0,0.10055555555555555,5.5,-17.5,5.5,0.0,-0.9253104204655473,0.0,4.0,-4.0,0.2126578518132215,2.7747334488736293,-1.7620097460543658,correct_reject,0.0
3,447.0,0.14666666666666667,5.5,-16.25,5.5,0.0,-1.3350742999467764,0.0,4.0,-4.0,0.2126578518132215,2.7747334488736293,-1.7620097460543658,correct_reject,0.0
4,447.0,0.19277777777777777,5.5,-15.0,5.5,0.0,-2.198570791300239,0.0,4.0,-4.0,0.09909410492433823,2.7747334488736293,-2.198570791300239,correct_reject,0.0
5,447.0,0.23888888888888887,5.5,-13.75,5.5,0.0,2.203076431860616,0.0,4.0,-4.0,0.09909410492433823,2.7747334488736293,-2.198570791300239,correct_reject,0.0
6,447.0,0.28500000000000003,5.5,-12.5,5.5,0.0,-3.1044986431319774,0.0,4.0,-4.0,0.0,2.7747334488736293,-3.1044986431319774,correct_reject,0.0
7,447.0,0.33111111111111113,5.5,-11.25,5.5,0.0,0.32826752619778965,0.0,4.0,-4.0,0.0,2.7747334488736293,-3.1044986431319774,correct_reject,0.0
8,447.0,0.37722222222222224,5.5,-10.0,5.5,0.0,1.228557032234395,0.0,4.0,-4.0,0.0,2.7747334488736293,-3.1044986431319774,correct_reject,0.0
9,447.0,0.42333333333333334,5.5,-8.75,5.5,0.0,1.4201937863989684,0.0,4.0,-4.0,0.0,2.7747334488736293,-3.1044986431319774,correct_reject,0.0
10,447.0,0.46944444444444444,5.5,-7.5,5.5,0.0,-0.31856376449471924,0.0,4.0,-4.0,0.0,2.7747334488736293,-3.1044986431319774,correct_reject,0.0
11,447.0,0.5155555555555555,5.5,-6.25,5.5,0.0,1.3154257286501716,0.0,4.0,-4.0,0.0,2.7747334488736293,-3.1044986431319774,correct_reject,0.0
12,447.0,0.5616666666666666,5.5,-5.0,5.5,0.0,1.6288127434163853,0.0,4.0,-4.0,0.0,2.7747334488736293,-3.1044986431319774,correct_reject,0.0
13,447.0,0.6077777777777778,5.5,-3.75,5.5,0.0,0.5854725867070645,0.0,4.0,-4.0,0.0,2.7747334488736293,-3.1044986431319774,correct_reject,0.0
14,447.0,0.6538888888888889,5.5,-2.5,5.5,0.0,2.672230381819351,0.0,4.0,-4.0,0.0,2.7747334488736293,-3.1044986431319774,correct_reject,0.0
15,447.0,0.7,5.5,-1.25,5.5,0.0,-1.4861949011885178,0.0,4.0,-4.0,0.0,2.7747334488736293,-3.1044986431319774,correct_reject,0.0
0,448.0,0.008333333333333333,-5.5,-20.0,-5.5,0.0,1.9144744880751423,0.0,4.0,-4.0,0.07300300130291959,1.9144744880751423,1.9144744880751423,correct_reject,0.0
1,448.0,0.05444444444444444,-5.5,-18.75,-5.5,0.0,-1.419084630545969,0.0,4.0,-4.0,0.12515405750748163,1.9144744880751423,-1.419084630545969,correct_reject,0.0
2,448.0,0.10055555555555555,-5.5,-17.5,-5.5,0.0,-0.9473214711597997,0.0,4.0,-4.0,0.12515405750748163,1.9144744880751423,-1.419084630545969,correct_reject,0.0
3,448.0,0.14666666666666667,-5.5,-16.25,-5.5,0.0,3.935478971966213,0.0,4.0,-4.0,0.0,3.935478971966213,-1.419084630545969,correct_reject,0.0
4,448.0,0.19277777777777777,-5.5,-15.0,-5.5,0.0,0.3763399682777324,0.0,4.0,-4.0,0.0,3.935478971966213,-1.419084630545969,correct_reject,0.0
5,448.0,0.23888888888888887,-5.5,-13.75,-5.5,0.0,1.6662330957524558,0.0,4.0,-4.0,0.0,3.935478971966213,-1.419084630545969,correct_reject,0.0
6,448.0,0.28500000000000003,-5.5,-12.5,-5.5,0.0,3.6727120819704853,0.0,4.0,-4.0,0.0,3.935478971966213,-1.419084630545969,correct_reject,0.0
7,448.0,0.33111111111111113,-5.5,-11.25,-5.5,0.0,1.8486496639987848,0.0,4.0,-4.0,0.0,3.935478971966213,-1.419084630545969,correct_reject,0.0
8,448.0,0.37722222222222224,-5.5,-10.0,-5.5,0.0,0.47509937282959136,0.0,4.0,-4.0,0.0,3.935478971966213,-1.419084630545969,correct_reject,0.0
9,448.0,0.42333333333333334,-5.5,-8.75,-5.5,0.0,-0.8957357791550642,0.0,4.0,-4.0,0.0,3.935478971966213,-1.419084630545969,correct_reject,0.0
10,448.0,0.46944444444444444,-5.5,-7.5,-5.5,0.0,0.8538090073185112,0.0,4.0,-4.0,0.0,3.935478971966213,-1.419084630545969,correct_reject,0.0
11,448.0,0.5155555555555555,-5.5,-6.25,-5.5,0.0,-3.2056371471803544,0.0,4.0,-4.0,0.0,3.935478971966213,-3.2056371471803544,correct_reject,0.0
12,448.0,0.5616666666666666,-5.5,-5.0,-5.5,0.0,-2.776400764525822,0.0,4.0,-4.0,0.0,3.935478971966213,-3.2056371471803544,correct_reject,0.0
13,448.0,0.6077777777777778,-5.5,-3.75,-5.5,0.0,1.8304852105242153,0.0,4.0,-4.0,0.0,3.935478971966213,-3.2056371471803544,correct_reject,0.0
