,Unnamed: 0,trial,time,y_attacker,x_attacker,y_end_attacker,x_target,y_target,goal_mean,goal_upper,goal_lower,p_in,goal_upper_expand,goal_lower_expand,decision_expand,d_prime_expand,p_in_diff
12498,2,781.0,0.10055555555555556,3.5,-17.5,3.5,0.0,-1.0298615771561543,0.0,4.0,-4.0,1.0,3.743556252163824,-1.0298615771561543,hit,0.0,0.0
12499,3,781.0,0.14666666666666667,3.5,-16.25,3.5,0.0,0.07429349800096041,0.0,4.0,-4.0,1.0,3.743556252163824,-1.0298615771561543,hit,0.0,0.0
12500,4,781.0,0.19277777777777774,3.5,-15.0,3.5,0.0,-2.880840121485238,0.0,4.0,-4.0,1.0,3.743556252163824,-2.880840121485238,hit,0.0,0.0
12501,5,781.0,0.2388888888888889,3.5,-13.75,3.5,0.0,0.2842165677962365,0.0,4.0,-4.0,1.0,3.743556252163824,-2.880840121485238,hit,0.0,0.0
12502,6,781.0,0.28500000000000003,3.5,-12.5,3.5,0.0,0.1467453094733333,0.0,4.0,-4.0,1.0,3.743556252163824,-2.880840121485238,hit,0.0,0.0
12503,7,781.0,0.33111111111111113,3.5,-11.25,3.5,0.0,-1.793109387604907,0.0,4.0,-4.0,1.0,3.743556252163824,-2.880840121485238,hit,0.0,0.0
12504,8,781.0,0.37722222222222224,3.5,-10.0,3.5,0.0,-0.17771623405380674,0.0,4.0,-4.0,1.0,3.743556252163824,-2.880840121485238,hit,0.0,0.0
12505,9,781.0,0.4233333333333333,3.5,-8.75,3.5,0.0,-2.1926419029489628,0.0,4.0,-4.0,1.0,3.743556252163824,-2.880840121485238,hit,0.0,0.0
12506,10,781.0,0.4694444444444445,3.5,-7.5,3.5,0.0,-0.055173969904062765,0.0,4.0,-4.0,1.0,3.743556252163824,-2.880840121485238,hit,0.0,0.0
12507,11,781.0,0.5155555555555555,3.5,-6.25,3.5,0.0,2.176662904573199,0.0,4.0,-4.0,1.0,3.743556252163824,-2.880840121485238,hit,0.0,0.0
12508,12,781.0,0.5616666666666666,3.5,-5.0,3.5,0.0,-2.5136343162035533,0.0,4.0,-4.0,1.0,3.743556252163824,-2.880840121485238,hit,0.0,0.0
12509,13,781.0,0.6077777777777778,3.5,-3.75,3.5,0.0,-3.6243778343088033,0.0,4.0,-4.0,1.0,3.743556252163824,-3.6243778343088033,hit,0.0,0.0
12510,14,781.0,0.6538888888888889,3.5,-2.5,3.5,0.0,1.857111681806328,0.0,4.0,-4.0,1.0,3.743556252163824,-3.6243778343088033,hit,0.0,0.0
12511,15,781.0,0.7,3.5,-1.25,3.5,0.0,3.2115925790746687,0.0,4.0,-4.0,1.0,3.743556252163824,-3.6243778343088033,hit,0.0,0.0
12512,0,782.0,0.008333333333333333,4.5,-20.0,4.5,0.0,1.0580106295264295,0.0,4.0,-4.0,0.5697513286908037,1.0580106295264295,1.0580106295264295,correct_reject,0.0,0.5697513286908037
12513,1,782.0,0.054444444444444434,4.5,-18.75,4.5,0.0,-1.5233750634888237,0.0,4.0,-4.0,0.36478420949120716,1.0580106295264295,-1.5233750634888237,correct_reject,0.0,0.20496711919959654
12514,2,782.0,0.10055555555555556,4.5,-17.5,4.5,0.0,0.05573143934151581,0.0,4.0,-4.0,0.36478420949120716,1.0580106295264295,-1.5233750634888237,correct_reject,0.0,0.0
12515,3,782.0,0.14666666666666667,4.5,-16.25,4.5,0.0,1.701339665512509,0.0,4.0,-4.0,0.4139281371346847,1.701339665512509,-1.5233750634888237,correct_reject,0.0,0.049143927643477525
12516,4,782.0,0.19277777777777774,4.5,-15.0,4.5,0.0,1.9185679510316629,0.0,4.0,-4.0,0.4336551611373136,1.9185679510316629,-1.5233750634888237,correct_reject,0.0,0.019727024002628935
12517,5,782.0,0.2388888888888889,4.5,-13.75,4.5,0.0,-2.53711984772764,0.0,4.0,-4.0,0.27166911310332664,1.9185679510316629,-2.53711984772764,correct_reject,0.0,0.16198604803398697
12518,6,782.0,0.28500000000000003,4.5,-12.5,4.5,0.0,-0.8994169647474246,0.0,4.0,-4.0,0.27166911310332664,1.9185679510316629,-2.53711984772764,correct_reject,0.0,0.0
12519,7,782.0,0.33111111111111113,4.5,-11.25,4.5,0.0,-0.4767702620287153,0.0,4.0,-4.0,0.27166911310332664,1.9185679510316629,-2.53711984772764,correct_reject,0.0,0.0
12520,8,782.0,0.37722222222222224,4.5,-10.0,4.5,0.0,-3.1077820288449973,0.0,4.0,-4.0,0.13189782540002282,1.9185679510316629,-3.1077820288449973,correct_reject,0.0,0.13977128770330383
12521,9,782.0,0.4233333333333333,4.5,-8.75,4.5,0.0,-0.9333634772851688,0.0,4.0,-4.0,0.13189782540002282,1.9185679510316629,-3.1077820288449973,correct_reject,0.0,0.0
12522,10,782.0,0.4694444444444445,4.5,-7.5,4.5,0.0,-3.0728303907638783,0.0,4.0,-4.0,0.13189782540002282,1.9185679510316629,-3.1077820288449973,correct_reject,0.0,0.0
12523,11,782.0,0.5155555555555555,4.5,-6.25,4.5,0.0,2.8923560934629373,0.0,4.0,-4.0,0.1961225300257441,2.8923560934629373,-3.1077820288449973,correct_reject,0.0,0.06422470462572127
12524,12,782.0,0.5616666666666666,4.5,-5.0,4.5,0.0,0.2552860178098815,0.0,4.0,-4.0,0.1961225300257441,2.8923560934629373,-3.1077820288449973,correct_reject,0.0,0.0
12525,13,782.0,0.6077777777777778,4.5,-3.75,4.5,0.0,-2.6803749009472364,0.0,4.0,-4.0,0.1961225300257441,2.8923560934629373,-3.1077820288449973,correct_reject,0.0,0.0
12526,14,782.0,0.6538888888888889,4.5,-2.5,4.5,0.0,-3.648373361728174,0.0,4.0,-4.0,0.0,2.8923560934629373,-3.648373361728174,correct_reject,0.0,0.1961225300257441
12527,15,782.0,0.7,4.5,-1.25,4.5,0.0,0.5171096146469543,0.0,4.0,-4.0,0.0,2.8923560934629373,-3.648373361728174,correct_reject,0.0,0.0
12528,0,783.0,0.008333333333333333,5.5,-20.0,5.5,0.0,0.9305002989909834,0.0,4.0,-4.0,0.4288125373738729,0.9305002989909834,0.9305002989909834,correct_reject,0.0,0.4288125373738729
12529,1,783.0,0.054444444444444434,5.5,-18.75,5.5,0.0,-0.0384843571932425,0.0,4.0,-4.0,0.35009390855217193,0.9305002989909834,-0.0384843571932425,correct_reject,0.0,0.078718628821701
12530,2,783.0,0.10055555555555556,5.5,-17.5,5.5,0.0,-1.6564256257586871,0.0,4.0,-4.0,0.15584016817695245,0.9305002989909834,-1.6564256257586871,correct_reject,0.0,0.19425374037521947
12531,3,783.0,0.14666666666666667,5.5,-16.25,5.5,0.0,3.1326070657573464,0.0,4.0,-4.0,0.2627165876190747,3.1326070657573464,-1.6564256257586871,correct_reject,0.0,0.10687641944212223
12532,4,783.0,0.19277777777777774,5.5,-15.0,5.5,0.0,1.2068221488926865,0.0,4.0,-4.0,0.2627165876190747,3.1326070657573464,-1.6564256257586871,correct_reject,0.0,0.0
12533,5,783.0,0.2388888888888889,5.5,-13.75,5.5,0.0,-1.3517461569340297,0.0,4.0,-4.0,0.2627165876190747,3.1326070657573464,-1.6564256257586871,correct_reject,0.0,0.0
12534,6,783.0,0.28500000000000003,5.5,-12.5,5.5,0.0,2.2052514232816414,0.0,4.0,-4.0,0.2627165876190747,3.1326070657573464,-1.6564256257586871,correct_reject,0.0,0.0
12535,7,783.0,0.33111111111111113,5.5,-11.25,5.5,0.0,-1.4986041320040604,0.0,4.0,-4.0,0.2627165876190747,3.1326070657573464,-1.6564256257586871,correct_reject,0.0,0.0
12536,8,783.0,0.37722222222222224,5.5,-10.0,5.5,0.0,-2.511150337648515,0.0,4.0,-4.0,0.0,3.1326070657573464,-2.511150337648515,correct_reject,0.0,0.2627165876190747
12537,9,783.0,0.4233333333333333,5.5,-8.75,5.5,0.0,-0.3623454817829392,0.0,4.0,-4.0,0.0,3.1326070657573464,-2.511150337648515,correct_reject,0.0,0.0
12538,10,783.0,0.4694444444444445,5.5,-7.5,5.5,0.0,1.4817061219688732,0.0,4.0,-4.0,0.0,3.1326070657573464,-2.511150337648515,correct_reject,0.0,0.0
